"","Name","m_h_ratio","pvalue","p_adj_BH"
"110","Hydroxyoctanoic acid",0.87526063221892,0.17815883164138,0.479532694560228
"111","2-Phenylbutyric acid",0.894928778451327,0.208035621612133,0.501618601644208
"112","Oleoyl Ethanolamide",0.783338875057119,0.0698045614132989,0.327446851720566
"113","Dihydroactinidiolide",0.852135635129068,0.474306726615503,0.695290542424999
"114","Palmitic amide",1.22652534058813,0.0285466255077039,0.198110704665226
"115","Prostaglandin E2",0.712543750525958,0.087349018291822,0.342060172812187
"116","Ethyl-3-hydroxybutyrate",1.39790352628577,0.00686934605766844,0.0864149178067827
"117","sphingosine(d18:1)",1.18454424318778,0.0412435243241031,0.253353077990919
"118","4-Hydroxyphenylpyruvic acid",1.21041247160789,0.14807800298173,0.439127870911337
"119","Taurodeoxycholic acid",1.1288112081071,0.0679298342550736,0.324553652552018
"120","Calcitriol",1.01892721139151,0.830450229314552,0.907865081199807
"121","Prenylbenzoquinone",0.836368299606395,0.290674552844102,0.529735497467674
"122","LysoPE(16:0)",1.01220828640055,0.90090677938395,0.944853451549021
"123","hydroxyvaleric acid",1.34671312264027,0.00555670262563409,0.0864149178067827
"124","Hydrocinnamic acid",0.84635053586257,0.201199648040969,0.501618601644208
"125","2-Phenylpropionate",0.84635053586257,0.201199648040969,0.501618601644208
"126","Cortisol",0.89159450181996,0.518897711653685,0.723651943819734
"127","LysoPE(18:1(9Z)/0:0)",1.16752019389912,0.184365707495966,0.485370944224073
"128","Capryloylglycine",1.17237260713005,0.159866874899858,0.454250936289647
"129","Indolelactic acid",1.12654521531433,0.214303274065673,0.502638588263124
"130","3-Methoxybenzenepropanoic acid",0.86533653047104,0.212637180611075,0.502638588263124
"131","Indole-3-propionic acid",1.21873087015503,0.0298700171334774,0.198110704665226
"132","LysoPG(18:0)",1.07085239655695,0.367380044267818,0.603720072745841
"133","Palmitoyl Serinol",1.27648306754823,0.0095205908188013,0.111650565056852
"134","2-Hydroxycaproic acid",1.39790352628577,0.00686934605766844,0.0864149178067827
"135","Phenylpropionylglycine",1.10932649047909,0.263225467958113,0.529735497467674
"136","2-Methylhippuric acid",1.08395225074155,0.195506299103495,0.501618601644208
"137","Hyodeoxycholic acid",1.1909822233687,0.012810231521725,0.137709988858544
"138","PE(P-16:0/22:6)",1.09648289960493,0.295666324168004,0.529735497467674
"139","Hexanoylglycine",1.07285487637851,0.284212274419467,0.529735497467674
"140","5,6-Dihydroxyprostaglandin F1a",0.730082181012023,0.22141289900333,0.504089695268756
"141","PE(22:6/16:0)",1.32634682880783,5.67028408874519e-05,0.00487644431632086
"142","PE(18:1/22:6)",1.20095999357354,0.0239530110340203,0.198110704665226
"143","N-Heptanoylglycine",1.03990680686716,0.598561801062684,0.786293381122481
"144","PE(20:4/16:0)",1.25160393604676,0.00297528151744698,0.0864149178067827
"145","Chenodeoxycholic acid",1.19136704162774,0.0125880655624702,0.137709988858544
"146","LysoPE(20:4)",0.835291673376964,0.161930343262899,0.454250936289647
"147","LysoPE(22:6)",0.81111748356736,0.0947797176558692,0.345164221289745
"148","LysoPE(18:2)",1.11934845843529,0.280009004504306,0.529735497467674
"149","lysoPS(22:0)",0.97998610408725,0.887437192751461,0.941372942542367
"150","lysoPE(16:0)",0.933813762764559,0.593186372745783,0.784831200863652
"151","LysoPE(20:0)",1.00277762226677,0.984151428532059,0.984151428532059
"152","PE(P-18:0/20:4)",0.885219316966883,0.24764406707289,0.523706305777095
"153","2-hydroxy-b-methylvalerate",1.27289101597868,0.0070147003572252,0.0864149178067827
"154","2-Hydroxyvaleric acid",1.35223894403986,0.00468834061342221,0.0864149178067827
"155","N-Acetyl-L-phenylalanine",0.992059140803537,0.923908325753373,0.95764805977462
"156","PC (C16:1/C18:1)",1.31262430202804,0.0137914819523926,0.142328093748691
"157","Pyruvic acid",1.08608722151753,0.41739456206135,0.639092233961967
"158","Cinnamoylglycine",1.17263993736531,0.0893070211116135,0.342060172812187
"159","1-Methylnicotinamide",0.918831044925049,0.387649558684694,0.617587925872038
"160","N-Lauroylglycine",0.939985340486388,0.511570280837529,0.72123023200045
"161","Hydroxyisocaproic acid",1.27279435407769,0.00703377237962184,0.0864149178067827
"162","Undecylenoyl glycine",1.02412685918107,0.795745600858675,0.888754826933065
"163","2-octenoylglycine",1.07998817606902,0.226694450035357,0.508584070514105
"164","Heptyl 4-hydroxybenzoate",0.899922002589847,0.241847793612591,0.51997275626707
"165","N-acetyl-phe",0.992328264136068,0.926403549861943,0.95764805977462
"166","Carnosic acid",1.15286160734432,0.0649385964607582,0.324553652552018
"167","PG (34:1)",0.792702731720912,0.0677436889645241,0.324553652552018
"168","1H-Indole-3-acetamide",0.989233529234347,0.927710708474768,0.95764805977462
"169","PE(P-20:4/16:0)",0.806950831921416,0.095819297202475,0.345164221289745
