"","peak_id","m_h_ratio","pvalue","p_adj_BH"
"858",2416,1.18403265104743,0.0192749772952979,0.244714069850438
"859",2423,0.871433645693544,0.580879614923711,0.82092326659409
"860",2436,1.08163882722596,0.288485450523201,0.636973162788595
"861",2448,0.923588383223033,0.33170832596633,0.674579019216259
"862",2458,0.944404569564198,0.543159291461648,0.806411744873744
"863",2475,1.00655279416974,0.930136772064108,0.973705100467012
"864",2483,0.842664597678712,0.104722447059105,0.464491080000414
"865",2484,1.12800471941453,0.154864378160715,0.514116902056508
"866",2498,0.884114044953145,0.152128670485214,0.510767117643042
"867",2504,1.0995034739607,0.145235297514365,0.503639149000667
"868",2505,1.10576948218086,0.12858426435063,0.491345447962403
"869",2508,0.701985364535185,0.00486611961533253,0.120308404700129
"870",2512,0.840861442922441,0.497376433690726,0.780219241502011
"871",2517,0.895171343822502,0.497634450516836,0.780219241502011
"872",2518,0.829983848453627,0.138902649810644,0.49865215337966
"873",2522,0.868200203686458,0.197348028204693,0.553572930414066
"874",2524,0.971518290365876,0.637626256316406,0.856397237754487
"875",2530,1.30429411181421,0.0452206673145235,0.346380891344528
"876",2554,1.075736167782,0.266300482613608,0.619801060637145
"877",2559,0.730908691192194,0.10070219821024,0.460155793652883
"878",2563,0.531602776029121,0.0102399637654101,0.183246589668624
"879",2592,0.818729898725808,0.10570478988816,0.464491080000414
"880",2617,1.08731185471359,0.187902686304235,0.5472288011647
"881",2622,1.02388597958267,0.790173024944382,0.925328364778151
"882",2624,0.768809144874933,0.241999768575065,0.601478260783793
"883",2635,0.94242608119435,0.458176690647526,0.763513401904099
"884",2646,1.10464255315349,0.162822594725502,0.525676384002095
"885",2647,1.12365527092224,0.100502015910433,0.460155793652883
"886",2658,1.06152348098729,0.57678293262654,0.819179992747746
"887",2662,0.709826470848561,0.0455049557055889,0.346380891344528
"888",2676,0.969048361368404,0.672300552396136,0.872412111845538
"889",2694,1.22580245264925,0.0904210413279856,0.448287959512625
"890",2706,1.06808620719842,0.323129891397751,0.665459471259463
"891",2710,0.808527713413514,0.0713109853503822,0.408794520405506
"892",2713,1.0587596643496,0.508724775159726,0.788777749550189
"893",2720,0.82551851970741,0.103837275815401,0.464491080000414
"894",2722,0.87254051336581,0.210671434576315,0.566937580002757
"895",2724,0.902325618382713,0.492636582096147,0.778739038692518
"896",2725,1.01407019049751,0.84588126314918,0.943893320948923
"897",2726,1.08495534155145,0.376558630845151,0.706157914145446
"898",2735,0.962509819934613,0.650180701861082,0.865832415873121
"899",2746,0.880329566981494,0.169947016690054,0.531431304582902
"900",2764,0.999225143419908,0.993284599017736,0.994342973657073
"901",2769,0.739048591446905,0.0829426538858267,0.433984904652742
"902",2771,0.891387890965646,0.210325791911348,0.566937580002757
"903",2773,1.08454712446571,0.488577582471408,0.777997692765912
"904",2778,0.876934750936352,0.213054497359818,0.567038810961896
"905",2785,1.04903286687085,0.642013003937794,0.85833613335849
"906",2786,0.882349570392535,0.257977685450907,0.61204554414426
"907",2795,1.0061987550765,0.939783569813257,0.975110396781203
"908",2800,1.05766311292174,0.61883535052407,0.844787555295048
"909",2806,1.04551160241408,0.797810567926346,0.928267484527804
"910",2816,0.98577905150137,0.879044676689341,0.954875823401857
"911",2819,0.921828492025728,0.476783855158982,0.774872689077509
"912",2822,0.99061587261113,0.883541174312077,0.95731312911431
"913",2823,0.951303874370176,0.574883119071783,0.819179992747746
"914",2830,0.858835191119013,0.0929001569114215,0.452564555948929
"915",2831,1.08035130388034,0.402083816157203,0.722981330678836
"916",2833,1.01497983626539,0.875931336347365,0.953809191566422
"917",2834,0.817075740715104,0.0729580052516083,0.411863412290703
"918",2835,0.927942714419683,0.501405802590009,0.781211859922577
"919",2837,0.890704933927789,0.342998085153464,0.67666293346602
"920",2844,0.762418459916689,0.10028139120854,0.460155793652883
"921",2848,1.03598892483655,0.732377847450998,0.8982623860055
"922",2850,1.05626021878458,0.551787320573526,0.808835124696696
"923",2857,1.06563021066212,0.350874503561726,0.68217146091878
"924",2867,0.898405079208129,0.256068867062842,0.610282080425428
"925",2868,1.19589312197436,0.00704149890256321,0.157368579061916
"926",2874,1.07174718530273,0.273252996882753,0.627018586621077
"927",2875,1.04910673871813,0.555841475545045,0.810260770014848
"928",2879,1.02424287571456,0.774127579129767,0.917503946603995
"929",2891,1.0234834792824,0.737468085017648,0.900416387620468
"930",2903,0.862922764046078,0.53535316453356,0.804184879712763
"931",2908,0.851360286112202,0.4146182796169,0.73465567082814
"932",2917,1.00691346254671,0.939406451746543,0.975110396781203
"933",2931,0.713013150692704,0.0141894689653927,0.223183998766444
"934",2935,0.980370793468931,0.906665564295071,0.966511316471359
"935",2961,0.915934268972092,0.541414876565307,0.806411744873744
"936",2990,1.08778993798343,0.178440744184074,0.536863265422434
"937",2991,1.0641061564162,0.559661195466222,0.811743281388049
"938",3009,0.868166890458914,0.339868264155428,0.67666293346602
"939",3031,0.931620418945691,0.458076653032256,0.763513401904099
"940",3042,0.864689663082818,0.11056940183971,0.464491080000414
"941",3044,1.08716241959245,0.190759546292501,0.550974086853785
"942",3057,0.884768570760552,0.167584667339874,0.529519891029039
"943",3081,0.943633536299661,0.525072588246081,0.79758398812804
"944",3084,0.971837883275854,0.740780704647375,0.900416387620468
"945",3097,1.16363776746032,0.267603435757338,0.620773896034615
"946",3102,0.970337762371296,0.742759659825293,0.900416387620468
"947",3120,0.862430119939089,0.135535534820375,0.495028794403621
"948",3142,1.101515057853,0.183389027364817,0.5420415550737
"949",3143,0.940669973305408,0.47798266717326,0.775586728513434
"950",3151,0.986403110654583,0.900194993498148,0.96248901069169
"951",3153,1.27283881686205,0.00771992467013891,0.161174871724345
"952",3159,1.02764239961975,0.757419178816768,0.907760438582084
"953",3160,0.750696404966002,0.0272088851208284,0.278499718346317
"954",3161,1.14262716938045,0.327093903271795,0.670239306704148
"955",3162,0.94651949672777,0.567411789042368,0.814489497028731
