"","peak_id","f_h_ratio","pvalue","p_adj_BH"
"1368",4929,0.907097190813668,0.396273005608942,0.882487742359328
"1369",4930,0.848472900775141,0.204326668229993,0.872294512329286
"1370",4931,1.14469561087553,0.132812320250577,0.863187115782878
"1371",4935,1.24172671767129,0.0886409729489256,0.808366868563858
"1372",4937,1.01464181959215,0.89139304581609,0.985472013887305
"1373",4938,0.830994185932021,0.109832958318341,0.837857369479801
"1374",4946,1.04602506870311,0.639623477118154,0.912803654841101
"1375",4947,1.06601229969524,0.498397467775866,0.893815179750811
"1376",4960,0.944681532291128,0.404227127494652,0.882487742359328
"1377",4962,0.943825576573471,0.444333380868434,0.882487742359328
"1378",4975,1.01226481443268,0.859050821556722,0.972457343980633
"1379",4984,1.01796445407365,0.777686329742261,0.949494875624242
"1380",4991,1.01152559451584,0.916033619359859,0.990509313951452
"1381",5001,1.03044376983232,0.761748070901114,0.942714091811601
"1382",5002,1.02589284828872,0.756426807920744,0.942714091811601
"1383",5009,0.949118933279361,0.428967465714394,0.882487742359328
"1384",5012,0.95184500749261,0.446547296877935,0.882487742359328
"1385",5026,1.07021889763628,0.451221971171179,0.882487742359328
"1386",5032,0.946861494795847,0.414134141352201,0.882487742359328
"1387",5046,0.973353835916775,0.765561454318157,0.942714091811601
"1388",5053,0.95666777763752,0.4792283159338,0.888655968132355
"1389",5067,0.960022796006964,0.625750888346693,0.912803654841101
"1390",5073,1.07815422067984,0.662338270156274,0.917168722757335
"1391",5075,0.939501079937044,0.562965531351939,0.89501175298376
"1392",5076,0.960723826440724,0.525692090244806,0.89417296087885
"1393",5077,0.956027712201349,0.501353516314383,0.89417296087885
"1394",5079,0.962270445928046,0.550117195644568,0.89417296087885
"1395",5083,1.08367374597264,0.592775630951234,0.897522490376606
"1396",5088,1.1100702229878,0.387760535974464,0.882487742359328
"1397",5089,1.17126457371467,0.151425828133915,0.863187115782878
"1398",5095,1.12148504989067,0.228920457274806,0.882487742359328
"1399",5099,1.1508585727375,0.222930145483128,0.882487742359328
"1400",5108,0.947272916244826,0.711502325218333,0.92466074603127
"1401",5115,1.14415644411646,0.185298526186272,0.869361965186374
"1402",5123,1.06940113952645,0.583836013538512,0.896727927192228
"1403",5129,1.0785281711773,0.333293082340513,0.882487742359328
"1404",5136,0.979861058923228,0.71354873961966,0.92466074603127
"1405",5137,0.995712513266781,0.940852906118262,0.990509313951452
"1406",5138,0.981540117878295,0.732718797185919,0.933409233838876
"1407",5139,0.99705941869306,0.962180965602623,0.993918655507052
"1408",5140,0.980341463790939,0.7243265131845,0.92927791679834
"1409",5141,0.981489202612189,0.750771694256709,0.942351378429095
"1410",5146,0.981223851670806,0.739220963147482,0.93978091323012
"1411",5148,0.97954561814225,0.709505562623491,0.92466074603127
"1412",5149,0.994113126380121,0.912372230083657,0.990509313951452
"1413",5152,1.07487227973821,0.34288973257574,0.882487742359328
"1414",5153,0.986692485960066,0.817086461537791,0.960187501107492
"1415",5157,0.996495538515163,0.955122618790342,0.993307351418544
"1416",5158,0.978458053690694,0.696555894399502,0.923541822815508
"1417",5163,1.03318791826468,0.723800608122941,0.92927791679834
"1418",5169,1.01722093299614,0.889061982840985,0.985472013887305
"1419",5172,1.12188424989124,0.444720608550269,0.882487742359328
"1420",5174,0.963787775002996,0.834476797992395,0.960187501107492
"1421",5175,1.00456085085147,0.942033931508728,0.990509313951452
"1422",5187,1.03086549626032,0.680893318490588,0.920938176751884
"1423",5190,1.20559309962754,0.0500435770769734,0.716061818288615
"1424",5193,1.1820560148603,0.0646005628674936,0.732027505704201
"1425",5196,1.14693157268811,0.166017217599644,0.863187115782878
"1426",5206,1.10142600358427,0.452319039102002,0.882487742359328
"1427",5216,0.985927678200632,0.936289416002016,0.990509313951452
"1428",5217,1.05350633243706,0.765023581949381,0.942714091811601
"1429",5223,0.997112556912831,0.975599140812867,0.994344621237225
"1430",5224,1.01901767248774,0.839715276213193,0.961307587930518
"1431",5237,0.987104295336755,0.937170665107771,0.990509313951452
"1432",5239,1.17564905351787,0.123002684890876,0.837857369479801
"1433",5263,0.940757609052894,0.380642609719036,0.882487742359328
"1434",5308,1.08009601849178,0.609959540278425,0.903846179790178
"1435",5321,0.965306417740023,0.841421814155132,0.961698046713804
"1436",5343,1.03540099469437,0.757012133262329,0.942714091811601
"1437",5347,1.03950979191536,0.72453014800935,0.92927791679834
"1438",5373,1.02691674930061,0.790378672378099,0.952000977819518
"1439",5389,0.989719751450088,0.925592936519494,0.990509313951452
"1440",5397,0.949889627416806,0.476478975064763,0.888655968132355
"1441",5415,0.94321964821899,0.578488637635852,0.896727927192228
"1442",5417,0.981207564310994,0.83760256476661,0.960187501107492
"1443",5425,1.03797405173269,0.471210002620765,0.888655968132355
"1444",5431,1.02779442053776,0.757938036542721,0.942714091811601
"1445",5440,0.964323780589556,0.58434563816205,0.896727927192228
"1446",5442,0.961797935545728,0.559158602358756,0.89501175298376
"1447",5443,0.96062482300647,0.550330988114713,0.89417296087885
"1448",5448,0.962691875222707,0.532201943512898,0.89417296087885
"1449",5455,1.0781259962824,0.419875106826385,0.882487742359328
"1450",5456,1.07616049269232,0.437129607216886,0.882487742359328
"1451",5458,1.07761377712745,0.425986117303871,0.882487742359328
"1452",5462,0.977112339519895,0.815642929376453,0.960187501107492
"1453",5463,1.03266004175428,0.750510583625842,0.942351378429095
"1454",5468,0.820804046394517,0.148638905297295,0.863187115782878
"1455",5470,1.01335498057266,0.892680997022357,0.985472013887305
"1456",5474,0.99537179411734,0.933430781788913,0.990509313951452
"1457",5486,1.01978857917302,0.835870616468159,0.960187501107492
"1458",5489,1.01143660872388,0.92990181455103,0.990509313951452
"1459",5495,0.995799012351053,0.974606035794595,0.994344621237225
"1460",5497,1.58492967737873,0.0247597182276567,0.631608004673624
"1461",5498,1.14157898291225,0.136476320533664,0.863187115782878
"1462",5506,1.15072382672614,0.118329045912828,0.837857369479801
"1463",5508,1.21377531929646,0.0348008528077509,0.678566482733327
"1464",5515,1.13271360769514,0.16635302207628,0.863187115782878
"1465",5516,1.0587315538477,0.399455274663045,0.882487742359328
"1466",5518,1.21269211218222,0.0297163171276611,0.641923446950196
"1467",5520,1.1046721221247,0.195779651306253,0.869361965186374
"1468",5522,1.15425154348842,0.0741283086398103,0.757650080924052
"1469",5523,0.955663628897136,0.485308684097823,0.890608022555164
"1470",5528,1.1426357550799,0.0969763371159514,0.826136860371351
