"","Name","f_h_ratio","pvalue","p_adj_BH"
"75","2-keto-isovalerate",1.00420939749744,0.963851870268543,0.999314877030777
"76","4-Pyridoxic acid",0.968786181454667,0.593822764213511,0.917291709301306
"77","C17:1",0.873374700641593,0.294294558714801,0.763596994358382
"78","Heptadecanoic acid",1.21263601535424,0.0318795923365221,0.429401015447725
"79","2-Oxophytanate",1.50763737356755,0.0539858777494672,0.51386557709678
"80","Palmitic acid",1.14814918643997,0.14827176978276,0.740386886625132
"81","C18:3",0.840742098823586,0.177113429259531,0.754172834386116
"82","C16:1",0.81973802684175,0.0180970341438045,0.378867158211117
"83","C17:2",0.843663009540639,0.062799509971471,0.556533588367864
"84","C18:4",1.11282644077865,0.240555479493686,0.754172834386116
"85","DAG(39:5)",1.0992986678016,0.201223011280619,0.754172834386116
"86","C15:1",1.11819652976601,0.261568940210447,0.754172834386116
"87","C16:2",0.967124166593637,0.703872295573519,0.931666624277798
"88","6-Deoxohomodolichosterone",1.19959052838288,0.0517743281733868,0.511769320790785
"89","Pentadecanoic acid",1.13742162882609,0.16173090044402,0.740386886625132
"90","DAG(15:1/22:4)",1.04017811190911,0.657701779687169,0.931666624277798
"91","Dodecanoic acid",0.948631989769613,0.71737441134113,0.931666624277798
"92","Myristoleic acid C14:1",0.865909017582571,0.103835892785903,0.740386886625132
"93","C14:2",1.05554620069778,0.483019576335003,0.828250137378705
"94","C14:0(Myristic acid)",0.745730672563326,0.000694160444004924,0.0891996170546327
"95","Alpha-ketoisovaleric acid",1.00420939749744,0.963851870268543,0.999314877030777
"96","C15:2",1.13350234772052,0.025324977483536,0.429401015447725
"97","13-epi-12-oxo Phytodienoic Acid",1.16481829541046,0.130051235008046,0.740386886625132
"98","Indolepyruvate",1.00408086032977,0.966691294564693,0.999314877030777
"99","2-keto-isocaproate",0.978874062068079,0.763880130541761,0.931666624277798
"100","2-Methyl-3-ketovaleric acid",0.978874062068079,0.763880130541761,0.931666624277798
"101","10-hydroxy-2E-decenoic acid",1.24036521085317,0.276192678867306,0.755122536903167
"102","Neoabietic acid",1.02769397587046,0.721948543544395,0.931666624277798
"103","DAG(34:1)",1.27833486814073,0.26508783781668,0.754172834386116
"104","Ceramide (d18:1/16:0)",1.27538201699579,0.0118226631916927,0.306745707648976
"105","3,4-Dihydroxyphenylglycol O-sulfate",0.940707311819669,0.381627717012267,0.828250137378705
"106","15-deoxy-delta-12-14-PGJ2",1.11145308525503,0.368116631991653,0.828250137378705
"107","Oleamide",0.839038511254213,0.0415493255911204,0.429401015447725
"108","Octadecanamide",1.07504864256021,0.625572978667324,0.922455335656264
"109","Hydroxyoctanoic acid",1.01255506856609,0.876612757010508,0.989317719541001
"110","2-Phenylbutyric acid",1.085557497414,0.456190819083175,0.828250137378705
"111","Oleoyl Ethanolamide",1.10851225505492,0.39783489192197,0.828250137378705
"112","Dihydroactinidiolide",1.21750297061372,0.239044990723093,0.754172834386116
"113","Palmitic amide",1.23138550172483,0.2016854534409,0.754172834386116
"114","Prostaglandin E2",1.19783475392104,0.164210321158103,0.740386886625132
"115","Ethyl-3-hydroxybutyrate",1.04325974897151,0.635309705879995,0.922455335656264
"116","sphingosine(d18:1)",1.16436389723466,0.264414132701008,0.754172834386116
"117","4-Hydroxyphenylpyruvic acid",0.95670771186637,0.630823884372462,0.922455335656264
"118","Taurodeoxycholic acid",1.02159816662369,0.770283415371682,0.933786970521332
"119","Calcitriol",0.991270433839297,0.913997591036094,0.999314877030777
"120","Prenylbenzoquinone",1.14513256767087,0.35415207465565,0.821529380874381
"121","LysoPE(16:0)",0.87802867651134,0.222817080478961,0.754172834386116
"122","hydroxyvaleric acid",0.989016959021935,0.889144784270949,0.989317719541001
"123","Hydrocinnamic acid",1.02262267920596,0.731934372297035,0.931666624277798
"124","2-Phenylpropionate",1.02262267920596,0.731934372297035,0.931666624277798
"125","Cortisol",1.05199227170999,0.435812718695578,0.828250137378705
"126","LysoPE(18:1(9Z)/0:0)",0.937659335163819,0.565940999824777,0.903396502825886
"127","Capryloylglycine",1.02439153172516,0.762499971473559,0.931666624277798
"128","Indolelactic acid",0.982587865979691,0.808488766001823,0.957518953283265
"129","3-Methoxybenzenepropanoic acid",1.20308765090459,0.132561777798643,0.740386886625132
"130","Indole-3-propionic acid",1.03045151018087,0.727880124698952,0.931666624277798
"131","LysoPG(18:0)",1.06118447608894,0.490402469625268,0.828250137378705
"132","Palmitoyl Serinol",1.09866884370758,0.302790679480561,0.770467372539646
"133","2-Hydroxycaproic acid",1.04325974897151,0.635309705879995,0.922455335656264
"134","Phenylpropionylglycine",0.977765191961962,0.728801167827746,0.931666624277798
"135","2-Methylhippuric acid",0.943835303076412,0.424808500852631,0.828250137378705
"136","Hyodeoxycholic acid",1.08904660658421,0.29382425308644,0.763596994358382
"137","PE(P-16:0/22:6)",0.955436670489184,0.737365291959518,0.931666624277798
"138","Hexanoylglycine",0.951063889296034,0.441563617509982,0.828250137378705
"139","5,6-Dihydroxyprostaglandin F1a",1.34626549020293,0.234412765926009,0.754172834386116
"140","PE(22:6/16:0)",1.02917025068995,0.803825217970176,0.957518953283265
"141","PE(18:1/22:6)",0.768171649130768,0.0364049083715,0.429401015447725
"142","N-Heptanoylglycine",0.955854337655379,0.477758369710578,0.828250137378705
"143","PE(20:4/16:0)",0.954421404662138,0.697444412350916,0.931666624277798
"144","Chenodeoxycholic acid",1.08904660658421,0.29382425308644,0.763596994358382
"145","LysoPE(20:4)",0.811534190179569,0.0404642314958907,0.429401015447725
"146","LysoPE(22:6)",0.897360738619767,0.259905570932713,0.754172834386116
"147","LysoPE(18:2)",1.09976233986662,0.323374688160975,0.808112558882083
"148","lysoPS(22:0)",0.951695694186256,0.492822458686159,0.828250137378705
"149","lysoPE(16:0)",1.04201502173684,0.599630378064667,0.917291709301306
"150","LysoPE(20:0)",0.965462622052121,0.589649966171241,0.917291709301306
"151","PE(P-18:0/20:4)",1.26408650458155,0.216464952678895,0.754172834386116
"152","2-hydroxy-b-methylvalerate",1.13470802498434,0.16217127909459,0.740386886625132
"153","2-Hydroxyvaleric acid",1.05585593379456,0.424418244723822,0.828250137378705
"154","N-Acetyl-L-phenylalanine",0.938534896077904,0.44125284262151,0.828250137378705
"155","PC (C16:1/C18:1)",0.968174110499445,0.695166987833462,0.931666624277798
"156","Pyruvic acid",1.07890197476612,0.373254476362608,0.828250137378705
"157","Cinnamoylglycine",1.00550965267555,0.927274641428293,0.999314877030777
"158","1-Methylnicotinamide",1.12412612126547,0.128978137613297,0.740386886625132
"159","N-Lauroylglycine",1.2625825664459,0.0321312778341421,0.429401015447725
"160","Hydroxyisocaproic acid",1.13470802498434,0.16217127909459,0.740386886625132
"161","Undecylenoyl glycine",1.20488967132029,0.0323217080510866,0.429401015447725
"162","2-octenoylglycine",0.949580325535957,0.432605951108546,0.828250137378705
"163","Heptyl 4-hydroxybenzoate",1.00039522947434,0.995601198858381,0.999314877030777
"164","N-acetyl-phe",0.938534896077904,0.44125284262151,0.828250137378705
"165","Carnosic acid",0.987114407590529,0.897393955836281,0.989829384763624
"166","PG (34:1)",1.00797574210427,0.959867357560507,0.999314877030777
"167","1H-Indole-3-acetamide",1.27017341469946,0.0995481916607261,0.740386886625132
"168","PE(P-20:4/16:0)",1.04769485578364,0.777469182562828,0.938073145157966
