"","Name","term","estimate","std.error","statistic","p.value","p_adj_BH"
"26","Hydroxyisocaproic acid","daysLeft",-0.00159386401023201,0.000325092543597449,-4.90280088430954,1.06896290693785e-06,1.06074011534603e-05
"27","PC(18:2/15:0)","daysLeft",-0.00131370692105964,0.00026850071137065,-4.89275024395053,1.12395982251281e-06,1.07400605262335e-05
"28","Tyrosol 4-sulfate","daysLeft",-0.00247750595928629,0.000510140715881701,-4.85651484415294,1.34577326134543e-06,1.24003393366829e-05
"29","PE(18:0/18:2)","daysLeft",-0.00129211985659731,0.000269811647006092,-4.78896990154074,1.87670181050044e-06,1.66961747279005e-05
"30","4-Pyridoxic acid","daysLeft",-0.00170287408130713,0.000370984234747486,-4.59015214613152,4.87557854891696e-06,4.19299755206859e-05
"31","PE(36:4)","daysLeft",-0.00247822270594617,0.000550227365444524,-4.50399755007466,7.29183952496429e-06,6.06869224980899e-05
"32","PE(36:2)","daysLeft",-0.0015428944295137,0.000350575882033203,-4.40102844658201,1.16924114184606e-05,9.42700670613388e-05
"33","5-L-Glutamyl-taurine","daysLeft",0.00185907713331134,0.000430715959733005,4.31624854222667,1.71233444331992e-05,0.000133873420114103
"34","Ethyl-3-hydroxybutyrate","daysLeft",-0.00120762748949636,0.0002809167838498,-4.2988798068472,1.8500352262743e-05,0.000136374025251077
"35","2-Hydroxycaproic acid","daysLeft",-0.00120762748949636,0.000280705775389552,-4.30211130433804,1.82364080038438e-05,0.000136374025251077
"36","C22:2","daysLeft",-0.000990938178151719,0.000234104728873466,-4.23288407252689,2.47585104138763e-05,0.000177435991299446
"37","PE(20:4/16:0)","daysLeft",-0.00248155627517194,0.000588010453349442,-4.22025877437455,2.61659186278397e-05,0.000182454243404936
"38","C20:3","daysLeft",0.00101812317079963,0.000242598469319345,4.19674194011266,2.8992975236005e-05,0.000196847042391823
"39","PE(38:4)","daysLeft",-0.00174485275928047,0.000424794119209785,-4.1075256939204,4.25923049740533e-05,0.000281764479059122
"40","C14:2","daysLeft",-0.000927738691274321,0.000228023239701911,-4.06861463983729,5.02566387119092e-05,0.000324155319691814
"41","Cinnamoylglycine","daysLeft",-0.00148439057052676,0.00036558390936373,-4.06032796440693,5.20498954809073e-05,0.000327533488635953
"42","Galactose","daysLeft",0.00202227865826733,0.000509017565994948,3.97290544249586,7.50572771103339e-05,0.000461066130820623
"43","DAG(39:5)","daysLeft",-0.00485012538299612,0.0012348677245843,-3.92764770382905,9.04687165800584e-05,0.000542812299480351
"44","7-Methylguanine","daysLeft",-0.00183247839309854,0.00047154520450319,-3.88611394114208,0.000107204788743218,0.000628609897630689
"45","PE(22:6/16:0)","daysLeft",-0.00197613090481654,0.000517440431191238,-3.81905005039352,0.000140538369537245,0.000805753318680205
"46","Glycerol 3-phosphate","daysLeft",-0.00144403148362086,0.000381959047604429,-3.78059242915578,0.00016383818587161,0.00091891852075816
"47","PG(18:2/18:2)","daysLeft",0.0029281935061482,0.000778653458212163,3.76058627270662,0.000177353396458546,0.000973556942261803
"48","Capryloylglycine","daysLeft",-0.00123318182554353,0.000330464519085278,-3.73166181034188,0.00019875974187325,0.00106833361256872
"49","C21:2","daysLeft",0.0031903209166087,0.000863777322052807,3.69345297122035,0.000230777372042921,0.00121511350994028
"50","PE(16:0/22:6)","daysLeft",-0.00191111192090682,0.00051835106324268,-3.68690653193872,0.000236727401622017,0.00122151339236961
"51","PE(38:6)","daysLeft",-0.00196797091374523,0.000535593761494936,-3.6743723605971,0.000248523889341737,0.0012572384990229
"52","C22:4","daysLeft",-0.000677078488956433,0.000186230866341806,-3.63569424476461,0.00028850015603743,0.00140439698599353
"53","L-Aspartic acid","daysLeft",-0.00134186344499112,0.000368887526219917,-3.63759506519922,0.000286402263723765,0.00140439698599353
"54","LysoPC(14:1)","daysLeft",-0.00105087316432477,0.000292304024309694,-3.59513751754365,0.00033684673335867,0.00160937883715809
"55","PE(16:0/20:4)","daysLeft",-0.00187271588674524,0.000533684912773574,-3.50902909548762,0.000465722778873722,0.00218466321726218
"56","Pyruvic acid","daysLeft",-0.00115361718859495,0.000342408723019376,-3.36912324669273,0.00077705731672142,0.00358001406632369
"57","PC(18:2/17:1)","daysLeft",0.00195366087468762,0.000584133981382436,3.34454241142418,0.000848620342449975,0.00384112365529989
"58","All-trans-retinoic acid","daysLeft",0.00160047943989503,0.000479753673671171,3.33604415709386,0.000874752927714315,0.00389114233362575
"59","5,6-Dihydrouridine","daysLeft",-0.00106735308382414,0.000321455419075666,-3.32037670073593,0.000924899163686403,0.00404447430900156
"60","Hydroxyoctanoic acid","daysLeft",-0.000911190283538508,0.000279559474875005,-3.25937900672447,0.00114662363920593,0.0049304816485855
"61","DAG(15:1/22:4)","daysLeft",0.00279944417290909,0.000862944856559251,3.24405916743172,0.00120956414480803,0.00503334757033018
"62","1H-Indole-3-acetamide","daysLeft",-0.0012161304171552,0.000374818900343206,-3.24458135926882,0.00120736717669618,0.00503334757033018
"63","C17:1","daysLeft",0.000484831388802022,0.000154247069050821,3.14321297503734,0.0017103479827689,0.00697929952374329
