"","peak_id","term","estimate","std.error","statistic","p.value","p_adj_BH"
"55",575,"Timepoint:SexM",-0.0967998417990846,0.0205122026326474,-4.71913443586098,3.82555970689715e-06,0.000261390061427627
"56",1420,"Timepoint:SexM",-0.221298424045685,0.0471142619944731,-4.69705806007627,4.22769153573924e-06,0.000283708299844787
"57",1538,"SexM",1.84145663047932,0.395046717629337,4.66136420909873,4.96540074622901e-06,0.000327368000075941
"58",4781,"Timepoint:SexM",-0.387071144945675,0.0835854242574244,-4.63084501136924,5.69313568319824e-06,0.000364401317758159
"59",5604,"Timepoint:SexM",0.126718606790051,0.0273705017049834,4.62975096897765,5.72104250870979e-06,0.000364401317758159
"60",3200,"Timepoint:SexM",-0.278116928969755,0.0601282550450586,-4.62539497880558,5.8334665140218e-06,0.000365369452661565
"61",1074,"Timepoint:SexM",0.44406927658102,0.0963114929085945,4.61076101273261,6.22693741953826e-06,0.000383620177420078
"62",5602,"Timepoint:SexM",0.114215882585367,0.0248417713260962,4.59773504417474,6.59855411917067e-06,0.000399957522255538
"63",3199,"Timepoint:SexM",-0.120555421625723,0.0266924994572737,-4.51645308895461,9.44680431805724e-06,0.000563509375035859
"64",1395,"Timepoint:SexM",-0.157755737857748,0.0350189552972592,-4.50486705039129,9.93852284882977e-06,0.000583577638529723
"65",753,"Timepoint:SexM",0.417669997223055,0.0935872405380554,4.462894672626,1.19339662213946e-05,0.000689966847076936
"66",359,"Timepoint:SexM",-0.0838497679343051,0.0188668391412465,-4.44429336077782,1.29364645908964e-05,0.000736594453524069
"67",4910,"Timepoint:SexM",0.124943248786115,0.0282737684309358,4.41905185335705,1.44267594992114e-05,0.000809190480567705
"68",27,"Timepoint:SexM",0.265624425051726,0.0603062552420484,4.40459159643725,1.53532867110866e-05,0.000835316550911943
"69",377,"Timepoint:SexM",-0.0748589380427401,0.0170184098129552,-4.39870345499343,1.57466814392658e-05,0.000835316550911943
"70",1214,"Timepoint:SexM",0.492033534059756,0.111871905299193,4.39818677212879,1.57816591577296e-05,0.000835316550911943
"71",2725,"Timepoint:SexM",0.130471150780063,0.029616228571452,4.40539383552127,1.53004229815173e-05,0.000835316550911943
"72",3250,"Timepoint:SexM",-0.269109442059637,0.0612862593323465,-4.3910241054246,1.62742872141368e-05,0.000849427379871195
"73",403,"Timepoint:SexM",0.0936592057386358,0.0214221025966652,4.37208277366835,1.7649060758261e-05,0.000896286085534391
"74",831,"Timepoint:SexM",-0.100779285005058,0.0230421528009606,-4.3736922446264,1.75280485945843e-05,0.000896286085534391
"75",1486,"Timepoint:SexM",-0.0752332325737903,0.0172455644580697,-4.36246854991089,1.8388773339751e-05,0.000921400136143789
"76",2358,"Timepoint:SexM",-0.363265678533127,0.083561037298468,-4.34730934748445,1.96157795011422e-05,0.000969948675859111
"77",805,"SexM",0.825913396613865,0.19058679817936,4.33352889341581,2.07989103110493e-05,0.00101509486946654
"78",6847,"SexM",-2.56245577657806,0.591806670247733,-4.32988660892484,2.11228585343282e-05,0.00101768849194879
"79",110,"Timepoint:SexM",-0.101187956997603,0.0234120063944375,-4.3220540475183,2.18359345614358e-05,0.00102774669314887
"80",362,"Timepoint:SexM",-0.0786119545192218,0.0182028596502526,-4.31865959687993,2.2152070820931e-05,0.00102774669314887
"81",1517,"Timepoint:SexM",-0.0784503477060132,0.0181540741110128,-4.3213631951862,2.18999238167739e-05,0.00102774669314887
"82",2173,"Timepoint:SexM",-0.108525038439458,0.0251591255294016,-4.31354572767774,2.26366266714912e-05,0.00103742003696907
"83",1774,"Timepoint:SexM",-0.315704223878775,0.0737123458300043,-4.28292194915155,2.57575174762669e-05,0.00116622591175676
"84",5966,"Timepoint:SexM",0.29874667187712,0.0703316133572416,4.24768688810919,2.98575642356514e-05,0.00133577055235212
"85",1478,"Timepoint:SexM",-0.136949616030875,0.0323489551526135,-4.23350971877714,3.16773219449358e-05,0.00140051030434198
"86",4844,"Timepoint:SexM",-0.396199240196458,0.0937706806194512,-4.22519317956484,3.279363674738e-05,0.001433005661589
"87",1110,"Timepoint:SexM",-0.304546211789065,0.0728716641321022,-4.17921307844681,3.96760409127961e-05,0.00171382254885388
"88",384,"Timepoint:SexM",0.0908051762522123,0.0218314160088136,4.15938096803035,4.30521855720637e-05,0.00183852401567972
"89",4919,"Timepoint:SexM",0.106368376301773,0.0257280346941452,4.13433740922227,4.77081055570701e-05,0.00201446135599404
"90",4431,"Timepoint:SexM",-0.124982834658769,0.0303108970118234,-4.12336311294306,4.98962692543942e-05,0.0020755661994493
"91",5217,"Timepoint:SexM",-0.426429969068536,0.103462636291957,-4.12158421969076,5.02598520888469e-05,0.0020755661994493
"92",795,"Timepoint:SexM",-0.100758917448029,0.0245046015076943,-4.11183660409214,5.22973951748511e-05,0.00209078309645841
