"","Name","term","estimate","std.error","statistic","p.value","p_adj_BH"
"72","Phenylpropionylglycine","Timepoint:DietZGN201",-0.0573099268394712,0.0140435417875304,-4.08087416312302,4.74938388443523e-05,0.00180793712085056
"73","Sulfate","DietMetR",-0.21707352002906,0.0533124581603232,-4.07172221127506,4.93756979905437e-05,0.00180793712085056
"74","Cortisol","Timepoint:DietZGN201",-0.136957024359768,0.0337997708735041,-4.05201043735861,5.36720129542047e-05,0.00184631724562464
"75","Taurodeoxycholic acid","Timepoint:DietZGN201",-0.147016185401847,0.0364415231261312,-4.03430407925034,5.7831449469527e-05,0.00196322552146552
"76","Phenol sulphate","Timepoint:DietZGN1062",-0.176634369678663,0.0439260398351196,-4.0211767403043,6.11105922557726e-05,0.00204760166259602
"77","6-Deoxohomodolichosterone","Timepoint:DietZGN1062",-0.0866845819731007,0.0217501005190191,-3.98547960260232,7.09419116719328e-05,0.00234654015530239
"78","1-Methylguanine","Timepoint:DietZGN1062",-0.0855880015848361,0.0215382473853792,-3.97376815547841,7.4481297095208e-05,0.00243242717095743
"79","Linoleic acid","Timepoint:DietPF",-0.0330703874451787,0.00833062115812758,-3.96973848857769,7.57373180476539e-05,0.00244252850703684
"80","2-hydroxy-b-methylvalerate","Timepoint:Diet40CR",0.278832713502123,0.0704975041628012,3.95521397265653,8.04329194660035e-05,0.00256193743484307
"81","7-Methylguanine","Timepoint:DietZGN1062",-0.0814926538507685,0.0206811931018557,-3.94042323619405,8.54968596437256e-05,0.00269002314488795
"82","Hydroxyisocaproic acid","Timepoint:Diet40CR",0.278371051183822,0.070789177678937,3.93239560496618,8.83700957072739e-05,0.00274692586656345
"83","C22:4","DietMetR",-0.163280857525377,0.0415721153991558,-3.92765333102806,9.0110102120966e-05,0.00276335051887156
"84","PE(18:1/22:6)","Timepoint:DietZGN201",-0.18073148461428,0.0460614010294407,-3.92370793278224,9.1582363587581e-05,0.00276335051887156
"85","Glycerol 3-phosphate","Timepoint:DietMetR",-0.0656156656317985,0.0167288573450833,-3.92230409275881,9.21116839623854e-05,0.00276335051887156
"86","Palmitic amide","Timepoint:DietZGN201",-0.0532034382043393,0.0135754868210011,-3.91908142270333,9.3337760364287e-05,0.002765016495633
"87","N-Glycolylneuraminic acid","Timepoint:DietZGN201",-0.0966796850681053,0.0246848937000419,-3.91655261889749,9.43106401611257e-05,0.002765016495633
"88","lysoPS(22:0)","Timepoint:DietZGN201",-0.0824066153775799,0.0211311480915058,-3.89976990463218,0.000101014314944148,0.00289574369506557
"89","5,6-Dihydrouridine","Timepoint:DietZGN201",-0.067842844611823,0.0173874226051599,-3.90183445542355,0.00010016600465043,0.00289574369506557
"90","C20:4","Timepoint:DietZGN1062",-0.0537239156782197,0.013842883106669,-3.88097734151473,0.000109054442698759,0.0030918732105802
"91","Octadecanamide","Timepoint:DietZGN201",-0.054946534117998,0.0142057332552462,-3.8679125625357,0.000114996183147811,0.0032248929621886
"92","C14:0(Myristic acid)","Timepoint:DietZGN1062",0.0303092858411893,0.00786549120528787,3.85345111323915,0.000121929064127284,0.0033465636749829
"93","Indolelactic acid","Timepoint:DietZGN201",-0.115797806126756,0.0303431159677169,-3.81627932510153,0.000141603626085067,0.0038456563715734
"94","1H-Indole-3-acetamide","Timepoint:DietZGN201",-0.0710820803801468,0.0186438126160657,-3.81263649468854,0.000143685030951044,0.0038615352068093
"95","Cortisol","Timepoint:DietZGN1062",-0.107325409840123,0.0286103276056819,-3.7512821006219,0.000183379462552583,0.00487751560191406
"96","Indolelactic acid","Timepoint:DietPF",-0.099747747998901,0.0267659311905099,-3.72666832657283,0.000202036242162213,0.00531891331406643
"97","DAG(39:5)","Timepoint:DietPF",0.215626397893961,0.0581104680389367,3.71062917182978,0.000215139051153056,0.00549563120767213
"98","Indole-3-propionic acid","Timepoint:DietZGN201",-0.0889414693538944,0.0239408865605809,-3.7150449348997,0.000211454157465355,0.00549563120767213
"99","LysoPC(20:4)","DietMetR",-0.480719238541014,0.129542384166836,-3.71090312744206,0.000214908693809891,0.00549563120767213
"100","2-Hydroxycaproic acid","Timepoint:DietZGN201",-0.0569090208046447,0.0153968809065191,-3.6961395720447,0.000227658900489734,0.0057584310123874
"101","PE(P-38:6)","Timepoint:DietMetR",-0.0643114308814689,0.017416551111132,-3.69254684645133,0.000230867466194975,0.00578289381342754
"102","Ethyl-3-hydroxybutyrate","Timepoint:DietZGN201",-0.0568105710569242,0.0153984170851244,-3.68937733942835,0.000233733293687719,0.00579838363186842
"103","PC(15:1/22:6)","Timepoint:DietZGN201",-0.144969152982416,0.0393526433137695,-3.68384791401526,0.000238813092095307,0.00583084298256541
"104","gamma-D-Glutamylglycine","Timepoint:DietMetR",0.0663394763965898,0.0180121406265537,3.6830423308372,0.000239561765950362,0.00583084298256541
"105","PG(18:1/22:6)","Timepoint:DietZGN1062",-0.0866632246009862,0.0236312545257573,-3.66731374783875,0.000254628370230018,0.00608278884438378
"106","C22:3","DietMetR",-0.217800379940768,0.0593704917625074,-3.66849546761392,0.000253466180025349,0.00608278884438378
"107","LysoPE(20:1)","DietZGN1062",-0.250848302937329,0.0690523808131641,-3.63272489642396,0.000290946507315054,0.00688662375112697
"108","13-epi-12-oxo Phytodienoic Acid","Timepoint:DietZGN201",-0.0578509731907634,0.0159386572850095,-3.62960142478081,0.000294454917980182,0.00690630625808063
"109","C24:4","Timepoint:DietZGN1062",-0.0328911141434721,0.00909786200733594,-3.61525753159927,0.000311081998309443,0.00723055455530057
"110","C14:2","Timepoint:DietPF",-0.0390718655001842,0.0108315971020671,-3.60721185731028,0.000320789547233511,0.00738961635591481
"111","LysoPE(20:4)","Timepoint:DietMetR",-0.0542161972568761,0.0150612209635098,-3.59972125687755,0.000330081877972811,0.00753638270061816
