"","peak_id","term","estimate","std.error","statistic","p.value","p_adj_BH"
"102",256,"Timepoint",0.123584668997769,0.0194719492991113,6.34680519650946,9.33880325372047e-10,1.72035405036674e-08
"103",1514,"Timepoint",-0.0664374208629637,0.0105426074331347,-6.30180164483363,1.20336760613929e-09,2.19264198024039e-08
"104",5138,"Timepoint",0.118043754987791,0.0187362256666689,6.30029532563685,1.21359641269292e-09,2.19264198024039e-08
"105",3194,"Timepoint",0.0700641013587189,0.011213577092248,6.24814907699298,1.62536727980067e-09,2.90863344642426e-08
"106",4431,"Timepoint",0.0886654425329308,0.0142432039353735,6.22510517543929,1.84835100081999e-09,3.27646370805732e-08
"107",5140,"Timepoint",0.111609456004784,0.0179603876282621,6.21420084659854,1.96405673200659e-09,3.44903046676671e-08
"108",33,"Timepoint",-0.056101289440979,0.00904316552054368,-6.20372250331278,2.08191438820617e-09,3.62214549577722e-08
"109",347,"Timepoint",-0.0658245076693588,0.010622998015241,-6.19641532220181,2.16817572530841e-09,3.73761668610505e-08
"110",5152,"Timepoint",0.170369881121854,0.0276120255508285,6.17013340105151,2.50835849212691e-09,4.28473236973314e-08
"111",5137,"Timepoint",0.084012628398266,0.0137555193533727,6.1075577184708,3.54263719265733e-09,5.99695070721001e-08
"112",41,"Timepoint",-0.0541498630288541,0.00889246194639529,-6.08941183614562,3.91384361717637e-09,6.56617156845929e-08
"113",4704,"Timepoint",0.073380397123016,0.0120547566718423,6.08725660090838,3.96038586978552e-09,6.58545579586459e-08
"114",6715,"Timepoint",0.0635806752832781,0.0105182440507917,6.04479939581666,4.99588452257226e-09,8.2344447525555e-08
"115",3282,"Timepoint",0.0732059561538766,0.0122091642701777,5.99598420775535,6.51585496157095e-09,1.06463404111233e-07
"116",352,"Timepoint",-0.0634969595247997,0.0106117559334581,-5.9836430391881,6.96674616969738e-09,1.12849276317771e-07
"117",4705,"Timepoint",0.0725904171095359,0.0121811853170751,5.95922442849481,7.95059965361381e-09,1.27685271360174e-07
"118",1277,"Timepoint",-0.290937437765252,0.0489511187185939,-5.94342775775501,8.65811876709521e-09,1.36710967759428e-07
"119",3913,"Timepoint",-0.118084508001495,0.0198659675323483,-5.94406025325546,8.62864246250797e-09,1.36710967759428e-07
"120",3586,"Timepoint",-0.0636247776471426,0.0107158388856527,-5.93745187157759,8.94151727645383e-09,1.40009258020473e-07
"121",995,"Timepoint",0.18264986706469,0.0309102055579139,5.90904731197838,1.04173959863613e-08,1.60444975888303e-07
"122",3879,"Timepoint",0.0991129191590985,0.0167700772196439,5.91010511525857,1.03583942061105e-08,1.60444975888303e-07
"123",3081,"Timepoint",-0.0662151596666063,0.0112662001160477,-5.87732855661678,1.23474650319268e-08,1.88625095894231e-07
"124",3432,"Timepoint",0.0902103903602657,0.0153668732085376,5.87044541437005,1.28102920779074e-08,1.94117248503129e-07
"125",1164,"Timepoint",0.10883238154589,0.018614330000902,5.84669883582252,1.45408525509061e-08,2.1857809554522e-07
"126",282,"Timepoint",0.0362062504662694,0.0061973407525264,5.84222361042671,1.48916495845193e-08,2.2032605960088e-07
"127",639,"Timepoint",0.0362062504662694,0.0061973407525264,5.84222361042671,1.48916495845193e-08,2.2032605960088e-07
"128",315,"Timepoint",-0.109215159761515,0.0187948109809973,-5.8109208904489,1.7587242974533e-08,2.58175230852715e-07
"129",795,"Timepoint",0.0667830034956062,0.0115128794706202,5.80072115460171,1.85643909366834e-08,2.68326850538678e-07
"130",1378,"Timepoint",0.0667830034956062,0.0115128794706202,5.80072115460171,1.85643909366834e-08,2.68326850538678e-07
"131",1985,"Timepoint",-0.063948059273059,0.0111650981041913,-5.72749640677618,2.73140473976114e-08,3.91779351603907e-07
"132",48,"Timepoint",-0.0698800583448022,0.012206819975778,-5.72467345987449,2.77217313503131e-08,3.94614645509381e-07
"133",433,"Timepoint",0.041882261492096,0.00732139789952707,5.7205279738725,2.83311947720298e-08,4.00258007343189e-07
"134",312,"Timepoint",-0.103094874831187,0.0180432212755279,-5.71377323687847,2.93523798620737e-08,4.11590460901764e-07
"135",2646,"Timepoint",0.217691445476964,0.0383292204987259,5.67951663624885,3.51099794124629e-08,4.88678898637169e-07
"136",3044,"Timepoint",0.0970378321602537,0.0170943594160928,5.67659950269333,3.56482962232565e-08,4.92523151496316e-07
"137",5139,"Timepoint",0.0813434514570885,0.014404522779603,5.64707715081487,4.15696218920246e-08,5.70141018504483e-07
"138",607,"Timepoint",0.105405457203192,0.0187010558986758,5.63633720867362,4.39532686054805e-08,5.98465157316651e-07
"139",1353,"Timepoint",0.0537820307248299,0.00955024660996043,5.63148083199631,4.50743670643145e-08,6.0931464542336e-07
"140",462,"Timepoint",-0.0357453721853562,0.00638365670200407,-5.5995135474836,5.31813805904656e-08,7.13770100924892e-07
"141",5774,"Timepoint",0.120767489850604,0.0215801214815156,5.59623772062855,5.40883032546847e-08,7.20793771741507e-07
"142",4650,"Timepoint",0.0584044669970724,0.0104519052534324,5.58792541464076,5.64577673565138e-08,7.47071442696405e-07
"143",4149,"Timepoint",0.134804174863768,0.0241324016092915,5.58602401229164,5.7013822100967e-08,7.49153648445573e-07
"144",3084,"Timepoint",0.0703204287592569,0.0126187347557759,5.57270044265487,6.1062729537549e-08,7.96783811118434e-07
"145",497,"Timepoint",0.0342825916399138,0.00615744692184258,5.56766336357714,6.26653097106452e-08,8.12055978940016e-07
"146",2931,"Timepoint",-0.0798778309502043,0.0143692496242682,-5.55894239705454,6.55373505753842e-08,8.43456724185938e-07
"147",1023,"Timepoint",0.0922176806821638,0.0166716877791007,5.53139441573313,7.54774120809546e-08,9.64775900000773e-07
